"Old_ID","ID","species","old_species"
"3019280_LO7_S71_L001_R1_001.unique.mapped.sorted.bam","LO7_S71_L001_R1_001","Secale cereale","Secale cereale"
"3019283_R_1201_DIV_22_2_S94_L001_R1_001.unique.mapped.sorted.bam","R_1201_DIV_22_2","Secale cereale","Secale cereale"
"3019284_R_1148_DIV_22_2_S105_L001_R1_001.unique.mapped.sorted.bam","R_1148_DIV_22_2","Secale cereale","Secale cereale"
"3019286_R_1248_DIV_22_2_S126_L001_R1_001.unique.mapped.sorted.bam","R_1248_DIV_22_2","Secale cereale","Secale cereale"
"3019287_R_1319_DIV_22_2_S136_L001_R1_001.unique.mapped.sorted.bam","R_1319_DIV_22_2","Secale cereale","Secale cereale"
"3019288_R_1429_DIV_22_2_S146_L001_R1_001.unique.mapped.sorted.bam","R_1429_DIV_22_2","Secale cereale","Secale cereale"
"3019289_R_1554_DIV_22_1_S156_L001_R1_001.unique.mapped.sorted.bam","R_1554_DIV_22_1","Secale cereale","Secale cereale"
"3019290_R_1890_DIV_22_6_S166_L001_R1_001.unique.mapped.sorted.bam","R_1890_DIV_22_6","Secale cereale","Secale cereale"
"3019291_R_1038_DIV_22_4_S95_L001_R1_001.unique.mapped.sorted.bam","R_1038_DIV_22_4","Secale cereale","Secale cereale"
"3019292_R_1148_DIV_22_3_S106_L001_R1_001.unique.mapped.sorted.bam","R_1148_DIV_22_3","Secale cereale","Secale cereale"
"3019293_R_1201_DIV_22_3_S116_L001_R1_001.unique.mapped.sorted.bam","R_1201_DIV_22_3","Secale cereale","Secale cereale"
"3019294_R_1248_DIV_22_3_S127_L001_R1_001.unique.mapped.sorted.bam","R_1248_DIV_22_3","Secale cereale","Secale cereale"
"3019295_R_1319_DIV_22_3_S137_L001_R1_001.unique.mapped.sorted.bam","R_1319_DIV_22_3","Secale cereale","Secale cereale"
"3019296_R_1429_DIV_22_3_S147_L001_R1_001.unique.mapped.sorted.bam","R_1429_DIV_22_3","Secale cereale","Secale cereale"
"3019297_R_1554_DIV_22_2_S157_L001_R1_001.unique.mapped.sorted.bam","R_1554_DIV_22_2","Secale cereale","Secale cereale"
"3019298_R_1968_DIV_22_1_S167_L001_R1_001.unique.mapped.sorted.bam","R_1968_DIV_22_1","Secale cereale","Secale cereale"
"3019299_R_1038_DIV_22_5_S96_L001_R1_001.unique.mapped.sorted.bam","R_1038_DIV_22_5","Secale cereale","Secale cereale"
"3019300_R_1148_DIV_22_4_S107_L001_R1_001.unique.mapped.sorted.bam","R_1148_DIV_22_4","Secale cereale","Secale cereale"
"3019301_R_1201_DIV_22_4_S117_L001_R1_001.unique.mapped.sorted.bam","R_1201_DIV_22_4","Secale cereale","Secale cereale"
"3019302_R_1248_DIV_22_4_S128_L001_R1_001.unique.mapped.sorted.bam","R_1248_DIV_22_4","Secale cereale","Secale cereale"
"3019303_R_1319_DIV_22_4_S138_L001_R1_001.unique.mapped.sorted.bam","R_1319_DIV_22_4","Secale cereale","Secale cereale"
"3019304_R_1429_DIV_22_4_S148_L001_R1_001.unique.mapped.sorted.bam","R_1429_DIV_22_4","Secale cereale","Secale cereale"
"3019305_R_1554_DIV_22_3_S158_L001_R1_001.unique.mapped.sorted.bam","R_1554_DIV_22_3","Secale cereale","Secale cereale"
"3019306_R_1968_DIV_22_2_S168_L001_R1_001.unique.mapped.sorted.bam","R_1968_DIV_22_2","Secale cereale","Secale cereale"
"3019307_R_1038_DIV_22_6_S97_L001_R1_001.unique.mapped.sorted.bam","R_1038_DIV_22_6","Secale cereale","Secale cereale"
"3019308_R_1148_DIV_22_5_S108_L001_R1_001.unique.mapped.sorted.bam","R_1148_DIV_22_5","Secale cereale","Secale cereale"
"3019309_R_1201_DIV_22_5_S118_L001_R1_001.unique.mapped.sorted.bam","R_1201_DIV_22_5","Secale cereale","Secale cereale"
"3019310_R_1248_DIV_22_5_S129_L001_R1_001.unique.mapped.sorted.bam","R_1248_DIV_22_5","Secale cereale","Secale cereale"
"3019311_R_1319_DIV_22_5_S139_L001_R1_001.unique.mapped.sorted.bam","R_1319_DIV_22_5","Secale cereale","Secale cereale"
"3019312_R_1429_DIV_22_5_S149_L001_R1_001.unique.mapped.sorted.bam","R_1429_DIV_22_5","Secale cereale","Secale cereale"
"3019313_R_1554_DIV_22_4_S159_L001_R1_001.unique.mapped.sorted.bam","R_1554_DIV_22_4","Secale cereale","Secale cereale"
"3019314_R_1968_DIV_22_3_S169_L001_R1_001.unique.mapped.sorted.bam","R_1968_DIV_22_3","Secale cereale","Secale cereale"
"3019315_R_36_DIV_22_4_S98_L001_R1_001.unique.mapped.sorted.bam","R_36_DIV_22_4","Secale cereale","Secale cereale"
"3019316_R_1148_DIV_22_6_S109_L001_R1_001.unique.mapped.sorted.bam","R_1148_DIV_22_6","Secale cereale","Secale cereale"
"3019317_R_1201_DIV_22_6_S119_L001_R1_001.unique.mapped.sorted.bam","R_1201_DIV_22_6","Secale cereale","Secale cereale"
"3019318_R_1248_DIV_22_6_S130_L001_R1_001.unique.mapped.sorted.bam","R_1248_DIV_22_6","Secale cereale","Secale cereale"
"3019319_R_1319_DIV_22_6_S140_L001_R1_001.unique.mapped.sorted.bam","R_1319_DIV_22_6","Secale cereale","Secale cereale"
"3019320_R_1429_DIV_22_6_S150_L001_R1_001.unique.mapped.sorted.bam","R_1429_DIV_22_6","Secale cereale","Secale cereale"
"3019321_R_1554_DIV_22_5_S160_L001_R1_001.unique.mapped.sorted.bam","R_1554_DIV_22_5","Secale cereale","Secale cereale"
